Q: Why did the blonde become a big basketball fan?,A: Because every time they stopped the clock[COMMA] she thought that she had stopped aging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call a boomerang that doesn't come back?,A: A stick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the chicken cross the basketball court?, ,A: He heard the ref was blowing fowls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A guy finally got tickets to the Super Bowl[COMMA] but his seats were in the nosebleed section -- but he didn't care[COMMA] he had always dreamed of going to the Super Bowl.,So he wants to find a seat closer to where he can see better.,He finds this seat toward the front and he asks the guy next to it whether anyone is sitting there.,"The guy replies[COMMA] ""No[COMMA] because my wife just died."" ", ,"Well[COMMA] says the first man[COMMA] ""why didn't you just bring a friend or relative?"" ","The guy replied[COMMA] ""Oh[COMMA] they're all at the funeral.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you call a bunch of millionaires sitting around watching the Super Bowl?, ,The Dallas Cowboys, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] want to see the sweet spot on my bat?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimmimg...it's not a sport[COMMA] it's a way to keep from drowning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A blonde[COMMA] brunette and a redhead have a breaststroke race across the English Channel.,The brunette comes in first[COMMA] the redhead comes in second[COMMA] and the blonde never finishes.,"In the lifeboat[COMMA] the blonde says[COMMA] ""I don't want to be a tattletale[COMMA] but the other two used their arms."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day a man was stuck in bumper to bumper traffic[COMMA] and he really had to take a s**t.,So he got out of his car and went over to a bush and took a s**t in his hat.,He couldn't leave his hat there because he had his name on it.,He took his hat and on the way to his car he saw a police man.,He covered the hat with his hand.,The police officer came over and asked him what was in the hat.,"The guy said[COMMA] ""It's a hurt bird.""","The police officer said[COMMA] ""Let me see the bird.""","The man said[COMMA] ""I can't if I take my hand away it will fly away.""","The police officer said[COMMA] ""Let me see the bird.""","The man said[COMMA] ""I can't - if I take my hand away it will fly away."" They kept that up for about five minutes.",Then the police officer got mad and asked him one more time.,Take your hand away and I will reach in really fast and the bird won't fly away!,"The guy said[COMMA] ""Alright."" And he slowly removed his hand.","The police officer reached in and grabbed a handful of s**t and asked the man[COMMA] ""What is this?""","The man replied[COMMA] ""You scared the s**t out of the bird.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd like to try a back tackle on you.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two men are fishing in a boat under a bridge and see a funeral procession starting across the bridge.,One of the men stands up[COMMA] takes off his cap and bows his head.,The procession crosses the bridge[COMMA] and the man puts on his cap[COMMA] picks up his rod and reel and continues fishing., ,"His friend says[COMMA] ""That was touching.","I didn't know you had it in you.""", ,"He responds[COMMA] ""Well[COMMA] I guess it was the right thing to do -- after all[COMMA] I was married to her for 40 years."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did the right ball say to the left ball?, ,A: The guy in the middle is a real dick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day Jane met Tarzan in the jungle.,She was very attracted to him[COMMA] and during her questions about his life she asked him what he did about sex., ,What's that? he asked., ,She explained to him what sex was and he said[COMMA],Oh[COMMA] Tarzan use a hole in the trunk of tree! , ,"Horrified[COMMA] she said[COMMA] ""Tarzan you have it all wrong!","I'll show you how to do it properly."" ",She took off her clothes[COMMA] dropped to the ground and spread her legs wide., ,"Here[COMMA] she said[COMMA] ""You must put it in here.""",Tarzan removed his loincloth[COMMA] stepped closer[COMMA] and then gave her an almighty,kick in the crotch., Jane rolled around in agony.,"Eventually she managed to gasp[COMMA] ""What the hell did you do that for?""",Tarzan check for bees first!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A biker had been injured in an accident and was hospitalized., Several nurses each had the opportunity to give him a sponge bath and were commenting on his genitals.," They all had noticed a tattoo of the word ''Little."" So they drew straws to see who would find out what the whole tattoo said.", The nurse with the shortest straw went into the guy's room while the others waited in the hall., Suddenly[COMMA] they heard a commotion[COMMA] then moans of passion and a piercing scream., Finally[COMMA] she came out of the room with her skirt up around her waist[COMMA] her panties around one ankle and a contented smile on her face., The others ask her what she found out.,"It says 'Little Rock Arkansas[COMMA] Big Dick Champion[COMMA] 1993[COMMA] 1994[COMMA] 1995[COMMA] 1996[COMMA] 1997 and 1998!''',
You mind if we double team?,High five!,
Q: Why did the coach give his football team lighters?,A: They kept losing their matches.,
A guy stands over his tee shot for what seems an eternity: looking up[COMMA] looking down[COMMA] measuring the distance[COMMA] figuring the wind direction and speed.,Finally his exasperated partner says[COMMA] What's taking so long?","Hit the damn ball!""","The guy answers[COMMA] ""My wife is up there watching me from the clubhouse.","I want to make this a perfect shot.""",Forget it[COMMA] man[COMMA] says his partner.,You'll never hit her from here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What has teeth but no mouth?,A: A comb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How can you tell if a University of Tennessee football player is married?,A: There is tobacco spit on both sides of his pickup truck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day while jogging[COMMA] a man noticed two tennis balls lying by the side of the road.,He picked the balls up[COMMA] put them in his pocket and proceeded on his way.,Waiting at the cross street for the light to change[COMMA] he noticed a beautiful blonde standing next to him and smiling., ,What are those big bulges in your running shorts? she asked., ,Tennis balls[COMMA] answered the man[COMMA] smiling back., ,Wow[COMMA] said the blonde[COMMA] looking upset.,"That must hurt.,I once had tennis elbow and the pain was unbearable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On the seventh day[COMMA] God said[COMMA] ""Let there be football.""",And it was good., ,"Later that day[COMMA] God said[COMMA] ""Let there be one team to rule the others and set the standard for"," excellence.""", ,With that[COMMA] he plucked a star from the heavens and placed it on the helmet of silver and blue., ,"God said[COMMA] ""Let it be called[COMMA] ''The Dallas Cowboys'' - America''s team.""", ,"Later that day[COMMA] God said[COMMA] ""Even Cowboys need a**holes.""",So he made their fans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why couldn't Texas A&M put on a nativity scene?,A: Because they couldn't find three wise men or a virgin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why is basketball the grossest sport there is?, ,A: The players dribble all over the court.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why does it take longer to run from second base to third base than it does to run from first base to second base?, ,A: There's a shortstop between second base and third base.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two lawyers[COMMA] Jon and Amanpreet[COMMA] head out for their usual 9 holes of golf., Jon offers Amanpreet a $50 bet.,Amanpreet agrees and they're off., They shoot a great game., After the 8th hole[COMMA] Amanpreet is ahead by one stroke[COMMA] but cuts his ball into the rough on the 9th.,''Help me find my ball., Look over there[COMMA]'' he says to Jon., After a few minutes[COMMA] neither has any luck.,Since a lost ball carries a four point penalty[COMMA] Amanpreet secretly pulls a ball from his pocket and tosses it to the ground., ''I've found my ball!'' he announces., ,"''After all of the years we've been partners and playing together[COMMA]"" Jon says[COMMA] ""you'd cheat me out of a lousy 50 bucks?''",''What do you mean[COMMA] cheat?, I found my ball sitting right there!'',''And you're a liar[COMMA] too!'' Jon says., ''I'll have you know I've been STANDING on your ball for the last five minutes!'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three dicks are talking about what their owners are like.,Two of the dicks say their owners are really nice and like to rub them and pat them., The third dick says that his owner is really mean.,The two other dicks ask him why[COMMA] and he explains[COMMA] &#147;Well[COMMA] every night my owner puts a raincoat on me[COMMA] sticks me in a deep dark hole and makes me do pushups untill I throw up.&#148;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man was shipwrecked with his dog and a sheep on a tiny island in the middle of nowhere.,Everytime the man moved close to the sheep[COMMA] his dog would snarl and growl at him., ,One day while walking the island he discovered a lovely naked lady who also had just become marooned.,Finally[COMMA] some company! he thought., ,While sitting on the shore and the watching the sunset with his new female friend[COMMA],he slowly leaned over and whispered in her ear[COMMA] ''Hey[COMMA] could you go walk the dog?'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three guys walk into a motel and find out there is only one room with only one bed.,Since it's the only motel in town[COMMA] the guys decide to share the bed., They get to their room[COMMA] squeeze in[COMMA] and fall asleep.,"The next morning[COMMA] the guy on the left side of the bed wakes up and says[COMMA] ""I had the craziest dream about getting the best handjob of my life.""","The guy on the right side says[COMMA] ""That's incredible - I had the same dream!""","Then the guy in the middle wakes up and says[COMMA] ""Wow[COMMA] I had the weirdest dream!""",The other two guys nod their heads in anticipation.,I was cross-country skiing really[COMMA] really fast...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There were 3 basketball players[COMMA] one each from IU[COMMA] Notre Dame[COMMA] and Purdue[COMMA] standing on a burning roof in Indianapolis.,The fire department came with a blanket and yelled to the Notre Dame player to jump., He jumped and they moved it to the right.,He hit the sidewalk with a splat.,They then called to the IU player to jump.,He said that he wouldn't jump.,They said they liked IU better than Norte Dame.,So he jumped and the fire department moved the blanket to the left.,The IU player hit with a splat on the sidewalk.,Then they called to the Purdue player to jump.,He said that he wouldn't jump.,The fire department said they hated IU and Notre Dame.,"He yelled back[COMMA] ""Lay the blanket down on the sidewalk[COMMA] and then I'll jump!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantages,1,It can get really weird ,2,Someone can go for beer without interrupting the proceedings ,3,There's always a hand or mouth free when you need one ,4,Motel rooms split 3 ways are only $13 ,5,You get to watch your best friends making love,6,You get to get watched making love ,7,Simultaneous enjoying intercourse and oral sex has to be experienced to be believed ,8,You get strange looks when you all go out dancing ,9,You get really strange looks when you all go out comparison shopping for condoms , ,10,Enough people to play gin rummy if things don't work out ,11,You can safely check yourself for any homosexual tendencies without actually doing anything about it ,12,"Calling out the wrong name during climax isn't as much of a problem[COMMA] the ""wrong name"" is probably the one on your left ",13,Three-person showers are fantastic , ,14,Three-person naked belly laughs are even better ,15,Three-person kisses are best ,Disadvantages, ,1,It can get really weird ,2,Tougher for three people to decide on pizza toppings ,3,Simultaneous orgasms are even trickier to pull off ,4,You may harbor paranoid thoughts that while you're in the bathroom; the other two are giggling over the pimple on your butt ,5,Trying to find safe places to put your elbows ,6,You get to find out what kind of really sick things your friends like ,7,Queen-sized beds are suddenly smaller than you remember them ,8,Trying to fit 3 names in the little heart when drawing on your notebooks ,9,Morning breath multiplied by 3 ,10,You might discover homosexual tendencies you didn't suspect or want ,11,You might discover homosexual tendencies in one of your friends you didn't suspect or want ,12,You have the option of wrecking twice the normal number of relationships ,13,The odds of boyfriends/spouses walking in on you triple ,14,Sorting clothes quickly when the significant other walks in assumes comical proportions, ,15,Now there are two wet spots to avoid.
Two Dallas Cowboys were in a car.,Who was driving?, ,The cops.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Woods was traveling through rural Kentucky in his new Mercedes., He stopped at a small gas station and asked the mechanic if he could get his oil changed.,Why sure[COMMA] the mechanic said[COMMA] not seeming to recognize the golf star.,About thirty minutes later the oil change is complete., As Tiger started to back the car out[COMMA] the mechanic noticed some buttons on the dashboard and asked Tiger what they were for.,"Tiger looked down at the tees on his dash and says[COMMA] ""Those are what I set my balls on.""","The old man replied[COMMA] ""Boy oh Boy[COMMA] those Germans think of everything[COMMA] don't they!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm looking for a tight end that plays like a wide receiver.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two football players[COMMA] Bubba and Tiny[COMMA] were taking an important exam.,If they failed[COMMA] they would be on academic probation and not allowed to play in the big game the following week.,The exam was &#147;fill in the blank&#148; and the last question read[COMMA] &#147;Old MacDonald had a_____.&#148; Bubba was stumped -- he had no idea what to answer[COMMA] but he knew he needed to get this one right to be sure he passed.,Making sure the professor wasn't watching[COMMA] he tapped Tiny in the shoulder.,&#147;Tiny[COMMA] what's the answer to the last question?&#148;,Tiny laughed[COMMA] then looked around to make sure the professor hadn't noticed.,He turned to Bubba and said[COMMA] &#147;Bubba[COMMA] you're so stupid.,Everyone knows that Old MacDonald had a FARM.&#148; ,&#147;Oh yeah[COMMA]&#148; said Bubba[COMMA] &#147;I remember now.&#148; he picked up his No.,2 pencil and started to write the answer in the blank.,Then he stopped.,Tapping Tiny on the shoulder[COMMA] he whispered[COMMA] &#147;Tiny[COMMA] how do you spell farm?&#148;,&#147;You are really dumb[COMMA] Bubba.,that's so easy[COMMA]&#148; hissed Tiny[COMMA] &#147;farm is spelled &#145;E-I-E-I-O&#146;.&#148;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many animals can you fit on a toilet ?, ?,One pussy and 1000 hares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three guys begin work at a toothbrush company as salesmen.,Each day[COMMA] two of the guys sell twenty toothbrushes each[COMMA] and the third guy consistently sells two hundred.,The other two guys are jealous[COMMA] but they can't figure out his secret.,Then[COMMA] one day[COMMA] they run into him at the mall[COMMA] where he's set up a tobacco dip sample table.,This is your secret? says the first guy.,Try some dip[COMMA] says the third.,They both take a little bit o' dip.,Ech! says the second guy.,This tastes like s**t!,"It is s**t.,Would you like to buy a toothbrush?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Things a Man Would Do if He Woke up with a Vagina,10,Immediately go shopping for a vibrator,9,Squat over a hand-held mirror for an hour and a half,8,See if he could finally do a split,7,See if it's truly possible to launch a ping-pong ball 20 feet,6,Cross his legs without rearranging his crotch,5,Get picked up in a bar in less than 20 minutes, ,4,Have consecutive multiple orgasms and still be ready for more without sleeping first,3,Go to the gynecologist for a pelvic exam and ask to have it recorded on video,2,Sit on the edge of the bed and pray for breasts too,1,Finally find that damn G-Spot,Things a Woman Would Do if She Woke up with a Penis,10,Get ahead faster in the corporate world,9,Get a blowjob,8,"Find out what is so fascinating about ""beating the meat""",7,Pee standing up,6,Determine WHY you can't hit the bowl consistently,5,Find out what it is like to be on the other end of a surging orgasm,4,Touch/shift herself in public without a thought as to how improper it might seem,3,Jump up and down naked with an erection to see if,it feels as funny as it looks,2,Understand the scientific reason for the light refraction that occurs between a man's eyes and the ruler situated next to his member[COMMA] which causes two inches to be added to the final measurement, ,1,Repeat #9,,,,,,,,,,,,,,,,,,,,,
"Golfer: ""Think I'm going to drown myself in the lake.""","Caddy: ""Think you can keep your head down that long?""","Golfer: ""I'd move heaven and earth to break 100 on this course."" ","Caddy: ""Try heaven[COMMA] you've already moved most of the earth.""","Golfer: ""Do you think my game is improving?"" ","Caddy: ""Yes sir[COMMA] you miss the ball much closer now.""","Golfer: ""Do you think I can get there with a 5 iron?"" ","Caddy: ""Eventually.""","Golfer: ""You've got to be the worst caddy in the world."" ","Caddy: ""I don't think so sir.","That would be too much of a coincidence.""","Golfer: ""Please stop checking your watch all the time.","It's too much of a distraction."" ","Caddy: ""It's not a watch - it's a compass.""","Golfer: ""How do you like my game?"" ","Caddy: ""Very good sir[COMMA] but personally[COMMA] I prefer golf.""","Golfer: ""Do you think it's a sin to play on Sunday?"" ","Caddy: ""The way you play[COMMA] sir[COMMA] it's a sin on any day.""","Golfer: ""This is the worst course I've ever played on."" ","Caddy: ""This isn't the golf course.","We left that an hour ago.""","Golfer: ""That can't be my ball[COMMA] it's too old."" ","Caddy: ""It's been a long time since we teed off[COMMA] sir.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A hunter saves an Indian chief being chased by a grizzly bear in the woods.,The chief invites the hunter back to his camp to celebrate and reward the hunter for saving his life.,"At the celebration[COMMA] the Indian chief says to the hunter[COMMA] ""I have a special surprise for you: 500 of my prettiest Indian maidens.",You look at all of them and choose one.,"She will be your wife.""",The chief clapped his hands and 500 young[COMMA] beautiful Indian maidens appeared[COMMA] topless[COMMA] before them.,With closer inspection[COMMA] the hunter notices that none of them have nipples on their breasts.,Why don't these maidens have nipples on their breasts? he asks the chief.,"The chief turns to the hunter with surprise:""What -- you've never heard of the Indian Nipple-less 500?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There's prejudice in the NBA.,The 3-point shot: designed to keep the white man in the game.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day a man goes into a hotel and asks for a room to stay in.,The manager gives him a room and warns him not to mess around with his daughter or he'll get the &#147;Three Chinese Tortures.&#148; On his way to his room the man sees the manager's daughter.,She's very beautiful and he figures he'll endure whatever he has to.,So he has his way with the daughter and retires to his room.,The next morning when he wakes up he finds a rock on his chest.,There is a note on it[COMMA] reading: &#147;FIRST CHINESE TORTURE: ROCK ON CHEST.&#148; The man laughs and throws the rock out the window.,Then he sees a sign on the nightstand that says: &#147;''SECOND CHINESE TORTURE: LEFT NUT TIED TO ROCK.&#148; He goes flying out the window afte the rock but[COMMA] as he does[COMMA] he spots a sign on the windowsill that proclaims: &#147;THIRD CHINESE TORTURE: RIGHT NUT TIED TO BED POST.&#148;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you're tossing[COMMA] I'm going long.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've got a great First Touch.,Goooaaalll!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call 40 guys watching the Super Bowl?,A: The Chicago Bears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A traveling salesman approached an old farmhouse and noticed the strange behavior of the couple inside.,The woman was running the lawn mower over the carpet and the man had one hand dipped in a fish bowl and was playing with himself with the other.,The salesman assumed they were crazy and, moved on.,After he'd finished his pitch at the next farmhouse[COMMA] he mentioned what he'd just seen.,''Oh[COMMA] those folks ain't crazy[COMMA]'' the farmer said[COMMA], ''They're both deaf mutes.,She was telling him to mow the lawn[COMMA] and he was telling her to go f**k herself because he was going fishing.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What did the hurricane say to the coconut tree?, ,Hang on to your nuts here comes one heck of a blow job.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What is green and fuzzy[COMMA] has four legs[COMMA] and will kill you if it drops from a tree?,A: A pool table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The strident prosecutor begins:,''Ladies and gentlemen of the jury[COMMA] the State will prove that this defendant did in fact discard his breeches and insert his member into the innocent sheep; that he did ejaculate into said sheep and remove his member[COMMA] whereupon this sheep turned around and licked his member clean.'',"Then one member of the jury turned and whispered to the other juror and said[COMMA] ''The good ones will do that you know.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you say to a football player in an Armani suit?, ,Will the defendant please rise...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd've said[COMMA] 'How much you want[COMMA] Troy -- $12 million?,You crazy?,Wait a minute[COMMA] let me look -- alright[COMMA] I'm gonna give you $12 million[COMMA] but when the game starts[COMMA] all you're gonna have is a center and a wide receiver.,You say you want some blocking?,You got enough money; you better get some.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why did the professional baseball player cross the road?,Because his gigantic ass commanded him to.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear about the lady at Wal-Mart that was trying on a Dale Earnhardt T-shirt?, ,She hit the wall three times before she got,it off!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Two explorers are flying over the Amazon.,The Plane crashes and the local tribe captures them and takes them prisoner.,The King brings the first prisoner in front of the whole tribe.,He then asks ,What do you choose[COMMA] death or Bondo?, The prisoner says[COMMA] ,I,choose Bondo[COMMA] I don't want to die., The crowd chants[COMMA] ,BONDO[COMMA],BONDO UBEO UBEO Then a huge[COMMA] well-endowed man comes out and screws him and the guy screams., Meanwhile the other guy sees this.,Then the king calls for the second prisoner.,He comes out and says[COMMA] ,I saw what happened.,I choose death., The Kings says[COMMA] ,No one has chosen death before.,He looks at the crowd and asks how the prisoner should die., They shout ,DEATH BY BONDO!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two guys are hitting the links at their local golf and country club.,Luckily[COMMA] it's a beautiful day[COMMA] and there's,hardly anyone on the course[COMMA] so they've been breezing through the holes.,Up around the seventh tee[COMMA] they,spot the first people on the course other than themselves[COMMA] two ladies who[COMMA] from the guys' perspective[COMMA] are having trouble on the green.,In fact[COMMA] they've each five-putted it!, ,The first guy says ''Christ.,I hope they just had a bad hole[COMMA] I don't want to follow these broads for the next eleven holes!'' The second one goes[COMMA] ''Well[COMMA] maybe I'll go talk to them[COMMA] and maybe they can let us pass them.,I'll be back in a sec.'', ,So he trots off[COMMA] about to go and ask to let them pass.,Suddenly[COMMA] about a hundred feet away from the women[COMMA],he stops[COMMA] turns and runs away from them as fast as he can.,When he comes back[COMMA] he exclaims[COMMA] ''Jesus!,That's my,wife <i>and</i> my girlfriend!,They're both here!,Golfing together!,I'm sorry[COMMA] man[COMMA] but I can't say anything to them.,I'm,liable to be killed if they saw me.,How about you go ask them?'', ,So the other guy concurs[COMMA] and trots off to ask the women if they can pass and get on with their game.,Then he stops suddenly[COMMA] spins around and runs back,to his buddy in the same manner.,''What's wrong?,What's the matter?'' his friend says., ''Same damn thing[COMMA]'' he replies., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two gay men[COMMA] Paul and Tom[COMMA] were making love one night[COMMA] and had just finished when Paul decided he was going to freshen up in the shower., Tom was laying there thinking about how wonderful Paul was[COMMA] when he decided he was going to join him in the shower., ,When Tom got into the bathroom[COMMA] he opened up the shower curtain and the first thing he saw was a large cumshot on the wall., He wailed to Tom[COMMA] ''I can't believe you!, We just finish making love and you come in here and jack-off!!'',Paul looks at the wall and says ''What are you talkng about?,"I wasn't jacking-off[COMMA] I farted!!!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A woman calls a clinic and says she hasn't been able to sleep because her dog snores too loudly.,The doctor told her to tie a ribbon around his balls and he will shutup.,The woman goes to her bedroom and sees her dog lieing on the floor snoring.,She gets a red ribbon and ties it around his balls.,The dog stops snoring.,The woman goes to sleep.,After a while[COMMA] her husband comes home drunk.,He lays in bed and falls fast asleep.,He starts to snore loudly so the woman gets a blue ribbon and ties it around his balls.,The next morning the woman gets up and goes to work.,The man wakes up and sees the blue ribbon on his balls.,Then he looks down at the dog and sees the red ribbon around his balls.,The guy says to the dog[COMMA] ''I don't know what we did lasst night[COMMA] but we got first and second place!''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie came to work Monday and his co-workers asked him how his weekend was.,He said he played a little golf.,So his co-worker asked him how well he did., ,I hit two of my best balls[COMMA] he said.,Tell me about it[COMMA] said his co-worker., ,I stepped on a rake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man walks into a bar one day and asks the bartender if he knows a man named Two Guns Gonzales.,The bartender says no but he tells him that the man in the back named No Guns knows him.,So the guy walks to the back of the bar and asks the man if he knows a guy named Two Guns Gonzales.,"The man says[COMMA] ""Let me tell you a story....",One day about a week ago[COMMA] I was riding into town on my horse and this large man with two guns comes riding up to me and says[COMMA] 'Get off your horse.' Well[COMMA] Two Guns has two guns and No Guns has no guns[COMMA] what could I do?,I get off my horse.,Then he says[COMMA] 'Now drop your pants.' Well[COMMA] Two Guns has two guns and No Guns has no guns[COMMA] what could I do?,I take off my pants.,Then he says[COMMA] 'Now s**t.' Well Two Guns has two guns and No Guns has no guns[COMMA] what could I do?,I s**t.,Then he says[COMMA] 'Now eat it.' Well Two Guns has two guns and No Guns has no guns[COMMA] what could I do?,I eat it.,Now[COMMA] Two Guns is laughing so hard[COMMA] he drops his guns!,I grab them!,Now I say[COMMA] 'Drop your pants.' Well Two Guns has no guns and No Guns has two guns[COMMA] what could he do?,He drops his pants.,Then I say[COMMA] 'Now s**t.' Well Two Guns has no guns and No Guns has two guns[COMMA] what could he do?,He s**ts.,Then I say[COMMA] 'Now eat it.' Well Two Guns has no guns and No Guns has two guns[COMMA] what could he do?,He eats it.,"So when you ask me if I know a man named Two Guns Gonzales[COMMA] the answer is yes: I had lunch with him last week.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two fraternity brothers decide to go sailing one afternoon and become lost.,After twenty hours with nothing to eat or drink[COMMA] one of them spots a lamp floating by.,He picks it up and a genie pops out.,The genie notices the poor condition of the brothers and grants them one wish between the two of them.,"After a lot of arguing over who gets the wish[COMMA] one of them blurts out[COMMA] ""I wish the ocean was made of beer."" ",Magically[COMMA] the ocean turns to beer., ,"Infuriated[COMMA] the other guy yells[COMMA] ""You idiot!","Now we have to piss in the boat!"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
