Q: Why couldn't the blonde add 10 and seven on a calculator?,A: She couldn't find the 10 key.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's it called when a blonde blows in another blonde's ear?,A: Data transfer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd like to see what's under your Kuiper Belt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What did one computer say to the other?,1.01011E+19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How can you tell a blonde's been using the computer?,A: There's white-out all over the screen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft's Latest Venture, News just in of Microsoft's latest,venture: Microsoft Corporation has taken another step toward dominating every aspect of,American life with the introduction of Contraceptive98[COMMA] a suite of applications designed,for users who engage in sex.,Microsoft has been a pioneer in peer-to-peer connectivity and plug and play., It believes these technologies will,give it substantial leverage in penetrating the copulation enhancement market.,The product addresses two important user concerns: the need for virus protection and the need for a firewall to ensure the non-propagation of human beings., The Contraceptive98 suite consists,of three products: Condom98[COMMA] DeFetus 1.0 (from Sementec)[COMMA] and AIDScan 2.1 (from Norton,Utilities).,A free copy of Intercourse Explorer 4.0 is bundled in the package.,The suite,also comes in two expanded versions.,Contraceptive98 Professional is the Client/Server,edition[COMMA] for professionals in the sexual services sector.,Contraceptive98 Small Business,Edition is a package for startups[COMMA] aimed at the housewife and gigolo niches., While Contraceptive98 does not address nontraditional copulatory channels[COMMA] future plug-ins are planned for next year., OPERATION: Only one node in a,peer-to-peer connection needs to install the package., At installation[COMMA] the Condom98,software checks for minimum hardware.,If the user meets the requirements[COMMA] the product,installs and is sufficiently scaleable to meet most requirements.,After installation[COMMA],operation commences.,One precaution is that the user must be sure they have sufficient RAM to complete the session.,When the session is complete[COMMA] a disconnect is initiated[COMMA] and the user gets the message[COMMA] it is now safe to turn off your partner., DRAWBACKS: Usability testers report that frequent failures were a major concern during beta testing.,General Protection Fault was the most serious error encountered.,Early versions had numerous bugs[COMMA] but most of these have been eliminated.,The product needs to be installed each time its used., CONCLUSION: Contraceptive98 is a,robust product.,Despite its drawbacks[COMMA] it is reasonably good value for its $49.95 price,tag[COMMA] and is far superior to its shareware version.,Hopefully[COMMA] future releases (of the,software[COMMA] that is) will add missing functionality[COMMA] such as Backout and Restore[COMMA],uninterruptible Power Supply and Onboard Camera., Microsoft CEO Bill Gates is optimistic that ,Our contraceptive products will help users do to each other what we've been doing to our customers for years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You and I appear to be on the same wavelength.,If not[COMMA] I have an adapter for that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have a webcam in your pocket?,'Cause I can definitely see myself in your pants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,#NAME?,-- If you start dancing in the street[COMMA] everyone you bump into will know all the steps.,#NAME?,-- It does not matter if you are heavily outnumbered in a fight involving martial arts[COMMA] your enemies will wait patiently to attack you one by one[COMMA] dancing around in a threatening manner until you have knocked out their predecessors.,-- After a person suffers a massive blow to the head[COMMA] they will still be surprisingly good looking.,-- No one involved in a car chase[COMMA] hijacking[COMMA] explosion[COMMA] volcanic eruption or alien invasion will ever go into shock.,-- Partnering police officers with their total opposites will always[COMMA] eventually[COMMA] lead to buddy teams who share unbreakable bonds and gruff affection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q.,Why did God invent men?,A: Vibrators can't mow the lawn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why does the TV like the remote?,A: Because it turns it on!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT NEWS RELEASE:,It has come to our attention that a few copies of the Georgia edition of Windows 98 may have accidentally been shipped outside Georgia.,If you have one of the Georgia editions you may need some help understanding the,commands.,The Georgia edition may be recognized by looking at the opening screen., It reads WINDERS 98 with a,background picture of the General Lee super imposed on a Confederate flag.,It is shipped,with a Daisy Duke screen saver.,Also note:,Recycle Bin is labeled Outhouse,My Computer is called This Infernal Contraption,Dialup Networking is called Good Ol' Boys,Control Panel is known as the Dern Dashboard,Hard Drive is referred to as 4 wheel drive,Floppies are them little ole plastic disc thangs.,Other features:, Instead of an error message you get,a winder covered with a garbage bag and duct tape.,OK = ats aww-right,cancel = hail no,reset = awa shoot,yes = shore,no = Naaaa,find = hunt-fer it,go to = over yonder,back = back yonder,help = hep me out here,stop = ternit off,start = crank it up,settings = sittins,programs = stuff that does stuff,documents = stuff I done done, Also note that winders 98 does not,recognize capital letters or punctuation marks., Some programs that are exclusive to,winders 98:,tiperiter................A word processor,colering book............a graphics program,addin mershene...........calculator,scratch paper,..........notepad,jupe-box,...............CD Player,inner-net................Microsoft Explorer,pichers..................A graphics viewer,IRS......................M/S accounting software,IRS2.....................M/S accounting software with hidden files,coon dog.................American kennel club records,fishin...................Bass Anglers Sportsman Society records.,NRA......................National Rifle Association,shot gun,...............Remington Arms price list,riffel...................Winchester price list,pisstel..................Smith &amp; Wesson price list,truck....................Ford &amp; Chevrolet dealers in GA.,by zip code,house....................Nearest Mobil home repair service by zip code,car,....................same as truck[COMMA] just need two lists in Texas,cuzzins..................family history usually a 3 meg file,tax records..............usually an empty file,shells...................ammunition inventory[COMMA] another 3 meg file,bud......................list of Budwiser dealers by zip code,racin....................NASCAR racing schedule includes list of TV stations that carry,the race car n' truck,Parts.......nearest Junk yard by zip code,doc,....................veterinarians by zip code, We regret any inconvenience it may,have caused if you received a copy of the Georgia edition.,You may return it to Microsoft,for a replacement version.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's the difference between a woman and a computer?, ,A:,Women don't take 3 1/2'' floppies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a true story from the WordPerfect helpline.,Needless to say[COMMA] the help desk employee was fired; however[COMMA] he/she is currently suing the Word Perfect organization for ,Termination without Cause.,Actual dialogue of a former WordPerfect Customer Support employee with a caller:,Ridge Hall computer assistant; may I help you?,Yes[COMMA] well[COMMA] I'm having trouble with WordPerfect.,What sort of trouble?,Well[COMMA] I was just typing along[COMMA] and all of a sudden the words,went away.,Went away?,They disappeared.,Hmm.,So what does your screen look like now?,Nothing.,Nothing?,It's blank; it won't accept anything when I type.,Are you still in WordPerfect[COMMA] or did you get out?,How do I tell?,Can you see the C: prompt on the screen?,What's a sea-prompt?,Never mind.,Can you move the cursor around on the,screen?,There isn't any cursor[COMMA] I told you[COMMA] it won't accept anything I,type.,Does your monitor have a power indicator?,What's a monitor?,It's the thing with the screen on it that looks like a,TV., Does it have a little light that tells you when it's on?,I don't know.,Well[COMMA] then look on the back of the monitor and find where the,power cord goes into it.,Can you see that?,Yes[COMMA] I think so.,Great.,Follow the cord to the plug[COMMA] and tell me if it's,plugged into the wall.,.......Yes[COMMA] it is.,When you were behind the monitor[COMMA] did you notice that there,were two cables plugged into the back of it[COMMA] not just one?,No.,Well[COMMA] there are.,I need you to look back there again and find,the other cable.,.......Okay[COMMA] here it is.,Follow it for me[COMMA] and tell me if it's plugged securely into,the back of your computer.,I can't reach.,Uh huh.,Well[COMMA] can you see if it is?,No.,Even if you maybe put your knee on something and lean way,over?,Oh[COMMA] it's not because I don't have the right angle - it's,because it's dark.,Dark?,Yes - the office light is off[COMMA] and the only light I have is,coming in, from the window.,Well[COMMA] turn on the office light then.,I can't.,No.,Why not?,Because there's a power outage.,A power...,A power outage?,Ah[COMMA] Okay[COMMA] we've got it licked now.,Do you still have the boxes and manuals and packing stuff your computer came in?, ,Well[COMMA] yes[COMMA] I keep them in the closet.,Good.,Go get them[COMMA] and unplug your system and pack it up just,like it was when you got it.,Then take it back to the store you bought it from.,Really?,Is it that bad?,Yes[COMMA] I'm afraid it is.,Well[COMMA] all right then[COMMA] I suppose.,What do I tell them?,Tell them you're too stupid to own a computer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTROLOGY: tells us about, you and your future simply by your birthday.,The Chinese Zodiac uses the year of your birth.,Demographics tell us what you like[COMMA] dislike[COMMA] whom you vote for[COMMA] what you buy[COMMA] and what you watch on TV.,Well[COMMA] the Corporate Zodiac goes a step further: simply by your job title[COMMA] people will have you all figured out...,MARKETING: You are ambitious yet stupid.,You chose a marketing degree to avoid having to study in college[COMMA] concentrating instead on drinking and socializing[COMMA] which is pretty much what your job responsibilities are now.,Least compatible with Sales.,SALES: Laziest of all signs[COMMA] often referred to as ,marketing without a degree[COMMA], you are also self-centered and paranoid.,Unless someone calls you and begs you to take their money[COMMA] you like to avoid contact with ,customers, so you can ,concentrate on the big,picture., You seek admiration for your golf game throughout your life.,TECHNOLOGY: Unable to control anything in your personal life[COMMA] you are, instead content to completely control everything that happens at your workplace.,Often even YOU don't understand what you are saying[COMMA] but who the hell can tell?!,It is written that the geeks shall inherit the Earth.,ENGINEERING: One of only two signs that actually studied in school[COMMA] it is said that ninety percent of all personal ads are placed by engineers.,You can be happy with yourself: your office is typically full of all the latest ,ergodynamic, gadgets.,However[COMMA] we all know what is really causing your ,carpal tunnel,...,ACCOUNTING: The only other sign that studied in school[COMMA] you are mostly immune from office politics.,You are the most feared person in the organization; combined with your extreme organizational traits[COMMA] the, majority of rumors concerning you say that you are completely insane.,HUMAN RESOURCES: Ironically[COMMA] given your access to confidential information[COMMA] you tend to be the biggest gossip within the organization.,Possibly the only other person that does less work than marketing[COMMA] you are unable to return any calls today because you have to get a haircut[COMMA], have lunch[COMMA] and mail a letter!,MIDDLE MANAGEMENT/DEPARTMENT MANAGEMENT/,TEAM LEADS,: Catty[COMMA] cut-throat[COMMA] yet completely spineless[COMMA] you are destined to remain at your current job for the rest of your life.,Unable to make a single decision you tend to measure your worth by the number of meetings,you can schedule for yourself.,Best suited to marry other ,Middle Managers[COMMA], as everyone in your social circle is a ,Middle Manager.,SENIOR MANAGEMENT: Catty[COMMA] cut-throat[COMMA] yet completely spineless[COMMA] you are destined to remain at your current job for,the rest of your life.,Unable to make a single decision you tend to measure your worth by the number of meetings you can schedule for yourself.,Best suited to marry other ,Senior Managers[COMMA], as everyone in your social circle is a ,Senior,Manager.,CUSTOMER SERVICE: Bright[COMMA] cheery[COMMA] positive[COMMA] you are a fifty-cent cab ride from taking your own life.,As a child very few of you asked your parents for a little cubicle for your room and a headset so you,could pretend to play ,Customer Service., Continually passed over for,promotions[COMMA] your best bet is to sleep with your boss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr.,Seuss as Technical Writer,If a packet hits a pocket on a socket on a port[COMMA] ,and the bus is interrupted as a very last resort[COMMA] ,and the address of the memory makes your floppy disk abort[COMMA] ,then the socket packet pocket has an error to report.,If your cursor finds a menu item followed by a dash[COMMA],and the double-clicking icon puts your window in the trash[COMMA] ,and your data is corrupted 'cause the index doesn't hash[COMMA] ,then your situation's hopeless and your system's gonna crash!,If the label on the cable on the table at your house[COMMA] ,says the network is connected to the button on your mouse[COMMA] ,but your packets want to tunnel on another protocol[COMMA] ,that's repeatedly rejected by the printer down the hall[COMMA] ,and your screen is all distorted by the side effects of gauss[COMMA] ,so your icons in the window are as wavy as a souse[COMMA] ,then you may as well reboot and go out with a bang[COMMA] ,'cause as sure as I'm a poet[COMMA] the sucker's gonna hang!,When the copy of your floppy's getting sloppy on the disk[COMMA] ,And the microcode instructions cause unnecessary risc[COMMA] ,Then you have to flash your memory and you'll want to RAM your ROM ,Quicky turn off the computer and be sure to tell your mom!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There was once a young man who[COMMA] in his youth[COMMA] professed a desire to become a ""great"" writer.","When asked to define ""great"" he said ""I want to write stuff that the whole world will read[COMMA] stuff that people will react to on a truly emotional level[COMMA] stuff that will make them scream[COMMA] cry[COMMA] wail[COMMA] howl in pain[COMMA] desperation[COMMA] and anger!""",He now works for Microsoft writing error messages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My new computer's the Bill Clinton Model., It's gotta 2 inch hard drive[COMMA] no memory and it keeps going down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo' Mama is so stupid[COMMA] she waxed her modem to try to make it faster.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo' Mama is so stupid[COMMA] she calls beepers collect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo' Mama is so dumb[COMMA] she stuck the phone up her butt and thought she was makin' a booty call.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo' Mama is so stupid[COMMA] she bought a video tape on how to fix your VCR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo' Mama is so stupid[COMMA] she took her remote control to the movies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo' Mama is so stupid[COMMA] she taped toilet paper to her TV set for free paper view.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo' Mama is so stupid[COMMA] when she went to buy a color television[COMMA] she left the store because they didn't have one in pink.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Their company logo: two tin cans and a length of string.,9,You check out their address[COMMA] and it's a phone booth containing a Compaq portable and an acoustic coupler.,8,Their chief technical officer lives in a 10-foot-by-7-foot shack in the woods.,7,"Their proud boast: ""We've been on the Internet since it was CB radio."" ",6,"Their promo materials use the words ""information"" and ""superhighway"" in the same sentence.",5,"You order an SLIP/PPP connection[COMMA] e-mail[COMMA] and 2MB of server space for your personal Web site[COMMA] and the voice on the other end of the phone asks[COMMA] ""Would you like fries with that?"" ",4,As seen in Better Business Bureau special reports. ,3,Access speeds up to 9[COMMA]600 bps in most areas. ,2,They hawk both domain names and Rolexes on street corners.,1,They charge by the word.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Lower corner of screen has the words ""Etch-a-sketch"" on it.",2,"It's celebrity spokesman is that ""Hey Vern!"" guy.",3,In order to start it you need some jumper cables and a friend's car.,4,"It's slogan is ""Pentium: redefining mathematics"".",5,"The ""quick reference"" manual is 120 pages long.",6,Whenever you turn it on[COMMA] all the dogs in your neighborhood start howling.,7,"The screen often displays the message[COMMA] ""Ain't it break time yet?"" ",8,"The manual contains only one sentence: ""Good Luck!"" ",9,The only chip inside is a Dorito.,10,You've decided that your computer is an excellent addition to your fabulous paperweight collection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10) He is getting amazingly fast at typing with 1 hand!,9) After signing off she always has a cigarette!, ,8) After she gets off[COMMA] the screen's all fogged up!, ,"7) During sex he screams[COMMA] ""a: \ enter insert!""",6) After he uses the computer[COMMA] the seat is all sticky!, ,5) Your fax is filled with some guy's ass!, ,4) The INSERT key on your keyboard is all worn out!, ,3) The only 3 keys that aren't stiff are: S[COMMA] E[COMMA] X!, ,2) The keyboard is moist!, ,1) She comes home with a rubber+-, inflatable disk drive!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
