You're so stupid that you had to call 411 to get the number for 911.,
Yo' Mama is so fat[COMMA] when she finally turned herself around during the [QUOTE]Hokey Pokey[COMMA][QUOTE] everyone gave her a welcome back party.,
Yo' Mama is so old[COMMA] she got mistaken for a lost resident by the cemetery keeper.,
Yo' Mama is so ugly[COMMA] her portraits hang themselves.,
Yo' Mama is so stupid[COMMA] she does her homework on an Etch-a-Sketch.,
Yo' Mama is so ugly[COMMA] she's donating her body to science fiction.,
Yo' Mama is so skinny[COMMA] she uses Chapstick as a body moisturizer.,
Yo' Mama is so fat[COMMA] she broke the family tree.,
Yo' Mama is so poor[COMMA] she bit off your daddy's toe 'cause she saw a corn on it.,
Yo' Mama is so fat[COMMA] when she jumps off the high dive[COMMA] she shows up on radar.,
Yo' Mama is so stupid[COMMA] it took her an hour to cook instant rice.,
Yo' Mama is so fat[COMMA] she fell in the Grand Canyon and got stuck.,
Yo' Mama is so ugly[COMMA] when she was a kid[COMMA] they fed her with a slingshot.,
Yo' Mama is so stupid[COMMA] she took her remote control to the movies.,
Yo' Mama's breath is so nasty[COMMA] people look forward to her farts.,
Yo' Mama's cooking is so bad[COMMA] your family prays <i>after</i> they eat.,
Yo' Mama is so old[COMMA] I took her to see [QUOTE]Jurassic Park[QUOTE] and she started having flashbacks.,
Yo' Mama is so poor[COMMA] she told your little sister that Santa Claus was dead.,
Yo' Mama is so dirty[COMMA] when I went to her house[COMMA] a rat held me up while a cockroach stole my wallet.,
Yo' Mama is so poor[COMMA] I walked in her front door and fell down the back steps.,
Yo' Mama is so fat[COMMA] her measurements are 36-24-36[COMMA] and her other arm is just as big.,
Yo' Mama is so fat[COMMA] her back scratcher is a spruce.,
Yo' Mama is so fat[COMMA] when she puts on her BVDs[COMMA] it spells out [QUOTE]boulevard.[QUOTE],
Yo' Mama is so ugly[COMMA] when she was young[COMMA] her mama left her outside a store and got fined for littering.,
Yo' Mama is so dirty[COMMA] she has to creep up and take the bath by surprise.,
Yo' Mama is so hairy[COMMA] her knees have bangs.,
Yo' Mama is so stupid[COMMA] she stood in front of a revolving door for three hours looking for the doorknob.,
Yo' Mama's house is so dirty[COMMA] the roaches ride around in ATVs.,
Yo' Mama's breath is so nasty[COMMA] when she walks by a clock[COMMA] it goes [QUOTE]Tic Tac.[QUOTE],
Yo' Mama is so ugly[COMMA] I can't even describe her 'cause I'm too scared to look.,
Yo' Mama is so stupid[COMMA] if I gave her a penny for her thoughts[COMMA] I'd expect change.,
Yo' Mama is so ugly[COMMA] she has to trick-or-treat over the phone.,
Yo' Mama is so skinny[COMMA] she uses dental floss for toilet paper.,
Yo' Mama so redneck[COMMA] she thought an elevator was a mobile home.,
Yo' Mama is so ugly[COMMA] not even her Rice Krispies will talk to her.,
Yo' Mama is so fat[COMMA] every car she gets into becomes a low rider.,
Yo' Mama's teeth have so many gaps[COMMA] I don't know whether to laugh or kick a field goal.,
Yo' Mama is so fat[COMMA] she stepped on a scale[COMMA] and it said[COMMA] [QUOTE]Please step out of the car.[QUOTE],
Yo' Mama is so fat[COMMA] when she went to the amusement park[COMMA] they gave her a group discount.,
Yo' Mama is so fat[COMMA] she needs six frames for her portrait.,
Yo' Mama is so fat[COMMA] she can roll faster than she can run.,
Yo' Mama is so dirty[COMMA] roaches check into her laundry basket[COMMA] but they don't check out.,
Yo' Mama is so fat[COMMA] she makes sumo wrestlers look malnourished.,
Yo' Mama is so stupid[COMMA] she got locked in a grocery store and starved to death.,
Yo' Mama is so fat[COMMA] when she went skydiving[COMMA] she caused an eclipse.,
Yo' Mama is so stupid[COMMA] she set a penguin free from the Bronx Zoo.,
Yo' Mama is so ugly[COMMA] she walked into a house of mirrors and had 700 years of bad luck.,
Yo' Mama is so ugly[COMMA] her parents had to tie a pork chop around her neck to get the dog to play with her.,
Yo' Mama is so poor[COMMA] she had to take a second mortgage on her cardboard box.,
Yo' Mama is so fat[COMMA] when she tried boarding Noah's ark[COMMA] Noah yelled out the window[COMMA] [QUOTE]We only need one of those.[QUOTE],
Yo' Mama is so fat[COMMA] she goes to the beach to sell shade.,
Yo' Mama is so stupid[COMMA] she thought she could read minds when she got PMS.,
Yo' Mama is so fat[COMMA] she needed a hula hoop for her wedding ring.,
Yo' Mama is so stupid[COMMA] when she heard there was a change in the weather[COMMA] she ran outside with her piggy bank.,
Yo' Mama is so fat[COMMA] her car is made of spandex.,
Yo' Mama is so fat[COMMA] the only thing stopping her from going to the gym is the doorframe.,
Yo' Mama is so ugly[COMMA] kids at the zoo feed her bananas.,
Yo' Mama is so poor[COMMA] I saw her kicking a can down the street[COMMA] and when I asked her what she was doing[COMMA] she said[COMMA] [QUOTE]Moving.[QUOTE],
Yo' Mama is so stupid[COMMA] when she got to the sex question on the job application[COMMA] she wrote [QUOTE]not lately.[QUOTE],
Yo' Mama is so stupid[COMMA] she stole the free press.,
Yo' Mama is so poor[COMMA] she eats cereal with a fork to save milk.,
Yo' Mama is so hairy[COMMA] when she went into the woods[COMMA] Bigfoot took pictures of <i>her</i>.,
Yo' Mama is so lazy[COMMA] she stuck her nose out the window and let the wind blow it.,
Yo' Mama is so fat[COMMA] when she goes to the beach[COMMA] the tide comes in.,
Yo' Mama is so ugly[COMMA] when she entered an ugly contest[COMMA] the judges said[COMMA] [QUOTE]Sorry[COMMA] no professionals.[QUOTE],
Yo' Mama's teeth are so yellow[COMMA] when she smiles on the street[COMMA] cars slow down.,
Yo' Mama is so bald[COMMA] I can see what she's thinking.,
Yo' Mama is so poor[COMMA] when I stepped on a cockroach crawling across her floor[COMMA] she said[COMMA] [QUOTE]Now what do we do for supper?[QUOTE],
Yo' Mama's head is so big[COMMA] when it rains[COMMA] her clothes don't get wet.,
Yo' Mama is so fat[COMMA] when she was born[COMMA] they had to perform a C-D-E-F-G-section.,
Yo' Mama is so stupid[COMMA] she got locked in a bathroom and peed her pants.,
Yo' Mama's teeth are so yellow[COMMA] she spits butter.,
Yo' Mama is so ugly[COMMA] when she cries[COMMA] the tears run down her back.,
Yo' Mama is so ugly[COMMA] she has to cover her head before her feet will get into bed with her.,
Yo' Mama is so fat[COMMA] she when wears leather pants to a party[COMMA] people sit on her booty thinking it's a couch.,
Yo' Mama is so hairy[COMMA] she goes to the barber for a chest trim.,
Yo' Mama is so fat[COMMA] when she was born[COMMA] her parents got blueprints instead of a birth certificate.,
Yo' Mama is so fat[COMMA] she sweats barbeque sauce.,
Yo' Mama is so fat[COMMA] she's banned from all-you-can-eat restaurants.,
Yo' Mama is so stupid[COMMA] she asked for a price check at the 99 cent store.,
Yo' Mama is so fat[COMMA] she votes in her very own district.,
Yo' Mama is so ugly[COMMA] cops stop her to ask if she reported the accident.,
Yo' Mama is so stupid[COMMA] she put the air conditioner in backwards so she could chill outside.,
Yo' Mama is so ugly[COMMA] the alarm went off when she walked out of the pet store.,
Yo' Mama is so fat[COMMA] she has shocks on her toilet.,
Yo' Mama is so nasty[COMMA] she brushes her hair with her toothbrush.,
Yo' Mama is so fat[COMMA] when she walks down the street[COMMA] her legs bargain with each other: [QUOTE]You let me go[COMMA] I'll let you pass[QUOTE]; [QUOTE]You let me go[COMMA] I'll let you pass.[QUOTE],
Yo' Mama is so poor[COMMA] she waves a popsicle in front of her face for air conditioning.,
Yo' Mama is so fat[COMMA] she thinks a balanced meal is a cheeseburger in each hand.,
Yo' Mama is so ugly[COMMA] she wore a paper sack when you went to see Santa so Santa wouldn't cry for the photo.,
Yo' Mama is so poor[COMMA] I saw her walking around with one shoe[COMMA] and when I asked if she lost a shoe[COMMA] she said[COMMA] [QUOTE]No[COMMA] I found one.[QUOTE],
Yo' Mama is so stupid[COMMA] she has to re-read the instructions on the shampoo bottle every time she showers.,
Yo' Mama is so fat[COMMA] her bellybutton is a skate park.,
Yo' Mama is so fat[COMMA] she has a tattoo of the United States on her chest -- actual size.,
Yo' Mama is so poor[COMMA] she DJs for the ice cream truck.,
Yo' Mama is so ugly[COMMA] when she smiles[COMMA] her face looks a cheeseburger -- with bacon.,
Yo' Mama is so nasty[COMMA] when she's asked to take out the trash[COMMA] she leaves the room.,
Yo' Mama is so old[COMMA] when she went to school[COMMA] they didn't have a history class yet.,
Yo' Mama is so fat[COMMA] she makes whales look like guppies.,
Yo' Mama is so stupid[COMMA] she needs a recipe to make ice cubes.,
Yo' Mama is so old[COMMA] her belly button is between her breasts.,
Yo' Mama is so bald[COMMA] she gets brainwashed when she showers.,
Yo' Mama is so bald[COMMA] when you rub her head[COMMA] you can see into the future.,
Yo' Mama is so fat[COMMA] she has an echo in her belly button.,
Yo' Mama is so stupid[COMMA] she argued with a gumball machine for not taking her food stamps.,
Yo' Mama is so ugly[COMMA] I've seen better lookin' butts in an ashtray.,
Yo' Mama is so ugly[COMMA] when God was giving out looks[COMMA] she must've been petting a bulldog.,
Yo' Mama is so dumb[COMMA] when God was giving out brains[COMMA] she thought they were milkshakes and asked for extra thick.,
Yo' Mama is so fat[COMMA] she causes night and day.,
Yo' Mama is so ugly[COMMA] when she was born[COMMA] the doctor charged extra for having to touch her.,
Yo' Mama is so stupid[COMMA] she sits on the TV and watches the couch.,
Yo' Mama is so poor[COMMA] every time the wind blows[COMMA] her address changes.,
Yo' Mama is so fat[COMMA] when she decided to get a water bed[COMMA] she bought bedding for Lake Superior.,
Yo' Mama is so stupid[COMMA] she turns on the light to see if it's dark outside.,
Yo' Mama is so stupid[COMMA] when the officer told her she broke the speed limit[COMMA] she offered to fix it.,
Yo' Mama is so stupid[COMMA] she tried to drown her pet fish.,
Yo' Mama is so fat[COMMA] I put a quarter up in her ear[COMMA] and she spat out a packaged snack cake.,
Yo' Mama is so ugly[COMMA] your family portraits hang themselves.,
Yo' Mama is so ugly[COMMA] she looked out the window and got arrested for mooning.,
Yo' Mama is so fat[COMMA] she uses a soccer field for a pool table.,
Yo' Mama is so fat[COMMA] she irons her clothes with a steamroller.,
Yo' Mama is so ugly[COMMA] when she walks outside[COMMA] the sun hides behind the clouds.,
Yo' Mama is so skinny[COMMA] she could hang glide on a Dorito.,
Yo' Mama is so poor[COMMA] when she farts[COMMA] her holey underwear whistles.,
Yo' Mama has so many gaps in her teeth[COMMA] it looks like her tongue is in jail.,
Yo' Mama is so poor[COMMA] she had to get a take a second mortgage on her cardboard shelter.,
Yo' Mama is so ugly[COMMA] when she looks in the mirror[COMMA] her reflection ducks.,
Yo' Mama is so ugly[COMMA] she had to get you drunk to breastfeed.,
Yo' Mama is so hairy[COMMA] she's suing the Velcro makers for personal injury.,
Yo' Mama is so fat[COMMA] I've known her for seven years and still haven't met yo' whole mama.,
Yo' Mama is so fat[COMMA] [QUOTE]fat[QUOTE] is a compliment.,
Yo' Mama is so old[COMMA] she wears Air Moses.,
Yo' Mama is so short[COMMA] you can see her feet on her driver's license.,
Yo' Mama is so fat[COMMA] she uses the equator as a belt.,
Yo' Mama is so fat[COMMA] she broke the stairway to Heaven.,
Yo' Mama is so old[COMMA] her birth certificate expired.,
Yo' Mama is so poor[COMMA] when I asked where her bathroom was[COMMA] she said[COMMA] [QUOTE]Fourth bottle from the left.[QUOTE],
Yo' Mama is so fat[COMMA] she wore a red dress[COMMA] and everyone shouted[COMMA] [QUOTE]Hey[COMMA] the Kool-Aid Man![QUOTE],
Yo' Mama is so stupid[COMMA] she took a ladder to a Giants game.,
Yo' Mama is so fat[COMMA] Goodyear wanted to fly her over the Super Bowl.,
Yo' Mama is so stupid[COMMA] she stamped her foot and missed the ground.,
Yo' Mama is so fat[COMMA] the highway department makes her wear an [QUOTE]Oversize Load[QUOTE] sign every time she takes a walk.,
Yo' Mama is so fat[COMMA] the local gym referred her to an evangelical church where they have a better chance of performing miracles.,
Yo' Mama is so stupid[COMMA] she went to the doctor for a home pregnancy test.,
Yo' Mama is so ugly[COMMA] she gets arrested for indecent exposure every time she leaves the house.,
Yo' Mama is so poor[COMMA] she uses garbage bags for luggage.,
Yo' Mama is so fat[COMMA] the last time she booked a flight[COMMA] her boarding ticket read[COMMA] [QUOTE]Please allow up to 4-6 weeks for freight delivery.[QUOTE],
Yo' Mama is so ugly[COMMA] when she was born[COMMA] the doctor slapped her mama.,
Yo' Mama is so poor[COMMA] she can't afford window shopping.,
Yo' Mama is so fat[COMMA] you can spot her on Google Maps.,
Yo' Mama is so fat[COMMA] her senior photo is an aerial shot.,
Yo' Mama is so fat[COMMA] NASA used her to plug a black hole.,
Yo' Mama's so fat[COMMA] her nickname is [QUOTE]Daaaamn![QUOTE],
Yo' Mama is so fat[COMMA] she puts on lipstick with a paint roller.,
Yo' Mama is so fat[COMMA] the last time she saw 90210 was on the bathroom scale.,
Yo' Mama is so fat[COMMA] when she went in for a portrait[COMMA] the photographer charged for a family sitting.,
Yo' Mama is so ugly[COMMA] when she walked past the toilet[COMMA] it flushed itself.,
Yo' Mama is so poor[COMMA] she steals her breakfast from backyard bird feeders.,
Yo' Mama's so fat[COMMA] she doesn't use bronzer -- she uses Mop n' Glo.,
Yo' Mama is so poor[COMMA] she hangs the toilet paper out to dry.,
Yo' Mama is so nasty[COMMA] her armpits look like she's got Don King in a headlock.,
Yo' Mama is so stupid[COMMA] she filled out a job application[COMMA] and where it said[COMMA] [QUOTE]Don't Write Below This Line[COMMA][QUOTE] she wrote[COMMA] [QUOTE]OK![QUOTE],
Yo' Mama is so stupid[COMMA] she couldn't buy [QUOTE]Guess[QUOTE] jeans because she didn't know the answer.,
Yo' Mama's glasses are so thick[COMMA] when she looks on a map[COMMA] she sees people waving.,
Yo' Mama is so fat[COMMA] she can't stand in single file.,
Yo' Mama is so fat[COMMA] if she were one of the three little pigs[COMMA] she'd say[COMMA] [QUOTE]Not by the hair on my 26 chins.[QUOTE],
Yo' Mama is so fat[COMMA] when she goes to a buffet[COMMA] she pulls up a chair.,
Yo' Mama is so stupid[COMMA] she holds onto quarters tightly in case the the eagles on them fly away.,
Yo' Mama is so stupid[COMMA] she thought Master P was a special restroom.,
Yo' Mama is so stupid[COMMA] she thought Subway made trains.,
Yo' Mama is so old[COMMA] she used to work with Fred Flintstone.,
Yo' Mama is so stupid[COMMA] she bought a book on how to read.,
Yo' Mama is so skinny[COMMA] when she eats jelly beans[COMMA] tabloids report on her [QUOTE]baby bump.[QUOTE],
Yo' Mama is so old[COMMA] she has to screw on her underpants around her wrinkles.,
Yo' Mama is so dirty[COMMA] she makes Speedstick slow down and think about it.,
Yo' Mama is so poor[COMMA] all you got for Christmas was a video of other kids playing with toys.,
Yo' Mama is so fat[COMMA] I take laps around her for exercise.,
Yo' Mama is so stupid[COMMA] she thinks Cheerios are donut seeds.,
Yo' Mama is so poor[COMMA] when asked to use the bathroom[COMMA] she handed me a shovel and opened the back door.,
Yo' Mama is so fat[COMMA] when she goes to a restaurant[COMMA] instead of a menu[COMMA] she gets an estimate.,
Yo' Mama is so fat[COMMA] when she went bungee jumping[COMMA] she collapsed the bridge.,
Yo' Mama is so skinny[COMMA] she has to run around the shower to get the water to hit her.,
Yo' Mama is so poor[COMMA] she makes change in the church offering plate.,
Yo' Mama is so fat[COMMA] when she throws her shadow[COMMA] it breaks the sidewalk.,
Yo' Mama is so stanky[COMMA] monkeys throw poop on her at the zoo.,
Yo' Mama is so stupid[COMMA] when they said[COMMA] [QUOTE]Order in the court[COMMA][QUOTE] she asked for fries and a shake.,
Yo' Mama is so stupid[COMMA] she thought menopause was a button on the DVD player.,
Yo' Mama is so ugly[COMMA] her smile makes puppies whimper.,
Yo' Mama is so fat[COMMA] she broke wind at a cookout and started a forest fire.,
Yo' Mama is so stanky[COMMA] she used Odor-Eaters and completely disappeared.,
Yo' Mama's so ugly[COMMA] if ugly were bricks[COMMA] she could build homes for all the homeless.,
Yo' Mama is so poor[COMMA] she puts McDonald's dollar meals on layaway.,
Yo' Mama is so fat[COMMA] her first word was [QUOTE]more.[QUOTE],
Yo' Mama is so fat[COMMA] every time she turns around[COMMA] it's her birthday.,
Yo' Mama is so stupid[COMMA] she didn't want the window seat on her flight because she thought the breeze might mess up her hair.,
Yo' Mama is so poor[COMMA] she got married for the rice.,
Yo' Mama is so short[COMMA] she plays racquetball on the curb.,
Yo' Mama's teeth are so busted[COMMA] she can kiss yo' daddy and comb her mustache at the same time.,
Yo' Mama is so stupid[COMMA] her wig has a chinstrap.,
Yo' Mama's teeth are so yellow[COMMA] when she closes her mouth[COMMA] her cheeks light up.,
Yo' Mama is so poor[COMMA] her bathroom consists of a tin can and a pile of leaves.,
Yo' Mama is so fat[COMMA] she has a kickstand on her peg leg.,
Yo' Mama is so fat[COMMA] when she visits the doctor[COMMA] they need a forklift to get her on the examining table.,
Yo' Mama is so fat[COMMA] she buys clothes in three sizes: large[COMMA] extra large[COMMA] and [QUOTE]Oh my God[COMMA] it's coming towards us![QUOTE],
Yo' Mama is so poor[COMMA] I sat on a garbage can[COMMA] and she told me to get off her roof.,
Yo' Mama is so fat[COMMA] she uses the refrigerator for her lunch box.,
Yo' Mama is so fat[COMMA] she has to make a long distance call to talk to herself.,
Yo' Mama is so fat[COMMA] she shows up on radar.,
Yo' Mama is so fat[COMMA] the donut shop accused her of stealing their jelly rolls.,
Yo' Mama's teeth are so crooked[COMMA] when she smiles[COMMA] it looks like her mouth is throwing gang signs.,
Yo' Mama is so poor[COMMA] her face is on the food stamp.,
Yo' Mama is so stupid[COMMA] she saw a [QUOTE]Wet Floor[QUOTE] sign and did what it said.,
Yo' Mama is so ugly[COMMA] she has to sneak up to water fountains to get a drink.,
Yo' Mama is so fat[COMMA] when she wears a yellow raincoat[COMMA] the kids yell[COMMA] [QUOTE]Here comes the school bus.[QUOTE],
Yo' Mama is so ugly[COMMA] she not only got hit with the ugly stick[COMMA] she must have got lost in an ugly forest.,
Yo' Mama is so stupid[COMMA] when she was pulled over for drunk driving and asked to walk a line[COMMA] she said[COMMA] [QUOTE]Which one?[QUOTE],
Yo' Mama is so nasty[COMMA] simply bathing is part of her weight loss program.,
Yo' Mama is so poor[COMMA] she considers the give-a-penny/take-a-penny cups part of her own [QUOTE]Save Yo' Mama[QUOTE] foundation.,
Yo' Mama is so stupid[COMMA] she thought the international dateline was a global dating service.,
Yo' Mama is so fat[COMMA] she couldn't identify a picture of her feet.,
